Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1Y 9P1,45 to 54,Female,49.89057,-119.479618,UBC Okanagan,V1V 1V7,49.940066,-119.393434,12.537
V1Y 9P1,45 to 54,Female,49.89057,-119.479618,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,1.791
V1Y 9P1,45 to 54,Female,49.89057,-119.479618,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.207
V1Y 9P1,45 to 54,Female,49.89057,-119.479618,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,1.923
V1Y 4W4,45 to 54,Male,49.855437,-119.487344,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,4.74
V1Y 4W4,45 to 54,Male,49.855437,-119.487344,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.364
V1X 2C9,55 to 64,Male,49.892186,-119.40888,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,7.523
V1Y 1R4,25 to 34,Female,49.881255,-119.495145,UBC Okanagan,V1V 1V7,49.940066,-119.393434,13.141
V1Y 1R4,25 to 34,Female,49.881255,-119.495145,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,0.864
V1Y 9W7,65 and up,Male,49.89481305,-119.4975675,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,0.65
V1Y 9W7,65 and up,Male,49.89481305,-119.4975675,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,0.736
V1Y 9W7,65 and up,Male,49.89481305,-119.4975675,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,1.183
V1Y 9W7,65 and up,Male,49.89481305,-119.4975675,The Laurel Packinghouse,V1Y 1Z9,49.889195,-119.493507,0.924
V1Y 9W7,65 and up,Male,49.89481305,-119.4975675,Parkinson Recreation Centre,V1Y 4P9,49.883203,-119.456992,3.993
V1V 1P2,45 to 54,Male,49.918058,-119.44604,,,,,
V1Y 0B2,25 to 34,Female,49.870339,-119.475581,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,3.654
V1Y 0B2,25 to 34,Female,49.870339,-119.475581,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,3.769
V1Y 0B2,25 to 34,Female,49.870339,-119.475581,Kelowna Farmers' and Crafters' Market,V1Y 9N4,49.883105,-119.437669,4.311
V1V 2A9,35 to 44,Male,49.919767,-119.473448,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,5.803
